Name,Price,Rating,Description
"Nokia 7.2 (Ice, 64 GB)","Rs.17,099",4.2,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 2.2 (Black, 16 GB)","Rs.5,499",4,2 GB RAM | 16 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 mAh BatteryMediaTek Helio A22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
"Nokia 3.2 (Steel, 16 GB)","Rs.7,499",3.7,2 GB RAM | 16 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 2.2 (Steel, 32 GB)","Rs.6,499",3.9,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 mAh BatteryMediaTek Helio A22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
"Nokia 3.2 (Black, 32 GB)","Rs.8,999",4.1,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 6.1 Plus (Black, 64 GB)","Rs.8,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) Full HD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 4.2 (Black, 32 GB)","Rs.9,499",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP + 2MP | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 6.1 Plus (Blue, 64 GB)","Rs.8,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) Full HD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 2.3 (Charcol, 32 GB)","Rs.7,490",4,2 GB RAM | 32 GB ROM |15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 5MP Dual Front Camera4000 mAh BatteryMediaTek Helio A22 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Nokia 2.1 (Blue&Copper, 8 GB)","Rs.5,499",4.3,1 GB RAM | 8 GB ROM |13.97 cm (5.5 inch) Display8MP Rear Camera4000 mAh Battery1 Year Warranty
"Nokia 5.1 Plus (Black, 32 GB)","Rs.6,999",4,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) HD+ Display13MP + 5MP | 8MP Front Camera3060 mAh BatteryMediaTek Helio P60 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 2.2 (Steel, 16 GB)","Rs.5,499",4.2,2 GB RAM | 16 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 mAh BatteryMediaTek Helio A22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
"Nokia 7.2 (Charcoal, 64 GB)","Rs.17,099",4.1,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 5.1 Plus (Black, Blue, 64 GB)","Rs.11,999",4.2,6 GB RAM | 64 GB ROM |14.73 cm (5.8 inch) Display13MP Rear Camera3060 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 7.1 (Blue, 64 GB)","Rs.12,990",4.1,4 GB RAM | 64 GB ROM |14.83 cm (5.84 inch) Full HD+ Display12MP + 5MP | 8MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Processor1 year manufacturer warranty for device and 6 months for accessories
"Nokia 5 (Matte Black, 16 GB)","Rs.7,999",4.1,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) HD Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 5 (Tempered Blue, 16 GB)","Rs.7,999",3.9,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) HD Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 6 (Matte Black, 32 GB)","Rs.8,999",3.9,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display16MP Rear Camera | 8MP Front Camera3000 mAh BatteryQualcomm Snapdragon 430 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 2.2 (Black, 32 GB)","Rs.6,499",4,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 mAh BatteryMediaTek Helio A22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
"Nokia 3.1 (Blue/Copper, 32 GB)","Rs.8,900",4,3 GB RAM | 32 GB ROM |13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 3.1 (White, 32 GB)","Rs.7,499",4.2,3 GB RAM | 32 GB ROM |13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 3.1 Plus (Charcoal, 32 GB)","Rs.8,208",4.2,3 GB RAM | 32 GB ROM |15.24 cm (6 inch) Display13MP Rear Camera3500 mAh BatteryMediatek MT6762 Helio P22 Processor1 Year Warranty
"Nokia 3.1 Plus (Blue, 32 GB)","Rs.8,899",4.2,3 GB RAM | 32 GB ROM |15.24 cm (6 inch) Display13MP + 5MP3500 mAh Battery1 Year Warranty
"Nokia 7.2 (Charcoal, 64 GB)","Rs.15,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
